book_id,goodreads_book_id,best_book_id,work_id,title,author,average_rating,ratings_count,genre,bag_of_words,,wordcloud
21,2,2,2809203,"Harry Potter and the Order of the Phoenix (Harry Potter, #5) by J.K. Rowling",jkrowling,4.46,1735368,fantasy childrens fiction novel paranormal mystery magic classics action romance sciencefiction,jkrowling fantasy childrens fiction novel paranormal mystery magic classics action romance sciencefiction,,
22,12232938,12232938,1145090,The Lovely Bones by Alice Sebold,alicesebold,3.77,1605173,fiction mystery contemporary fantasy crime drama novel thriller paranormal murder suspense literature horror romance classics modern,alicesebold fiction mystery contemporary fantasy crime drama novel thriller paranormal murder suspense literature horror romance classics modern,,
23,15881,15881,6231171,"Harry Potter and the Chamber of Secrets (Harry Potter, #2) by J.K. Rowling",jkrowling,4.37,1779331,fantasy fiction magic childrens adventure classics novel paranormal mystery contemporary,jkrowling fantasy fiction magic childrens adventure classics novel paranormal mystery contemporary,,
24,6,6,3046572,"Harry Potter and the Goblet of Fire (Harry Potter, #4) by J.K. Rowling",jkrowling,4.53,1753043,fantasy fiction childrens adventure classics novel paranormal mystery contemporary,jkrowling fantasy fiction childrens adventure classics novel paranormal mystery contemporary,,
25,136251,136251,2963218,"Harry Potter and the Deathly Hallows (Harry Potter, #7) by J.K. Rowling",jkrowling,4.61,1746574,fantasy fiction magic childrens adventure classics novel paranormal mystery romance contemporary,jkrowling fantasy fiction magic childrens adventure classics novel paranormal mystery romance contemporary,,
26,968,968,2982101,"The Da Vinci Code (Robert Langdon, #2) by Dan Brown",danbrown,3.79,1447148,fiction thriller suspense historicalfiction adventure novel contemporary religion fantasy action history literature art classics drama mystery romance sciencefiction,danbrown fiction thriller suspense historicalfiction adventure novel contemporary religion fantasy action history literature art classics drama mystery romance sciencefiction,,
27,1,1,41335427,"Harry Potter and the Half-Blood Prince (Harry Potter, #6) by J.K. Rowling",jkrowling,4.54,1678823,fantasy fiction magic childrens adventure classics novel paranormal mystery romance contemporary,jkrowling fantasy fiction magic childrens adventure classics novel paranormal mystery romance contemporary,,
28,7624,7624,2766512,Lord of the Flies by William Golding,williamgolding,3.64,1605019,classics fiction literature dystopia novel adventure horror sciencefiction drama fantasy historicalfiction childrens psychology thriller philosophy contemporary,williamgolding classics fiction literature dystopia novel adventure horror sciencefiction drama fantasy historicalfiction childrens psychology thriller philosophy contemporary,,
29,18135,18135,3349450,Romeo and Juliet by William Shakespeare,williamshakespeare,3.73,1628519,classics fiction romance drama literature poetry historicalfiction novel,williamshakespeare classics fiction romance drama literature poetry historicalfiction novel,,
30,8442457,19288043,13306276,Gone Girl by Gillian Flynn,gillianflynn,4.03,512475,mystery crime fiction contemporary thriller suspense romance murder novel modern,gillianflynn mystery crime fiction contemporary thriller suspense romance murder novel modern,,
31,4667024,4667024,4717423,The Help by Kathryn Stockett,kathrynstockett,4.45,1531753,fiction historicalfiction contemporary drama novel classics history literature humor,kathrynstockett fiction historicalfiction contemporary drama novel classics history literature humor,,
32,890,890,40283,Of Mice and Men by John Steinbeck,johnsteinbeck,3.84,1467496,classics fiction literature historicalfiction novel drama,johnsteinbeck classics fiction literature historicalfiction novel drama,,
33,930,929,1558965,Memoirs of a Geisha by Arthur Golden,arthurgolden,4.08,1300209,fiction historicalfiction romance classics contemporary novel history literature drama memoir biography,arthurgolden fiction historicalfiction romance classics contemporary novel history literature drama memoir biography,,
34,10818853,10818853,15732562,"Fifty Shades of Grey (Fifty Shades, #1) by E.L. James",eljames,3.67,1338493,romance fiction contemporary drama,eljames romance fiction contemporary drama,,
35,865,865,4835472,The Alchemist by Paulo Coelho,paulocoelho,3.82,1299566,fiction classics fantasy philosophy novel spirituality literature adventure contemporary selfhelp historicalfiction religion travel drama romance,paulocoelho fiction classics fantasy philosophy novel spirituality literature adventure contemporary selfhelp historicalfiction religion travel drama romance,,
36,3636,3636,2543234,"The Giver (The Giver, #1) by Lois Lowry",loislowry,4.12,1296825,childrens fiction classics dystopia sciencefiction fantasy adventure philosophy youngadult drama contemporary,loislowry childrens fiction classics dystopia sciencefiction fantasy adventure philosophy youngadult drama contemporary,,
37,100915,100915,4790821,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) by C.S. Lewis",cslewis,4.19,1531800,fantasy classics fiction childrens adventure magic novel religion literature sciencefiction,cslewis fantasy classics fiction childrens adventure magic novel religion literature sciencefiction,,
38,14050,18619684,2153746,The Time Traveler's Wife by Audrey Niffenegger,audreyniffenegger,3.95,746287,fiction romance fantasy sciencefiction contemporary drama classics literature novel paranormal travel historicalfiction modern,audreyniffenegger fiction romance fantasy sciencefiction contemporary drama classics literature novel paranormal travel historicalfiction modern,,
39,13496,13496,1466917,"A Game of Thrones (A Song of Ice and Fire, #1) by George R.R. Martin",georgerrmartin,4.45,1319204,fiction fantasy adventure epic novel sciencefiction magic historicalfiction medieval romance action drama classics contemporary,georgerrmartin fiction fantasy adventure epic novel sciencefiction magic historicalfiction medieval romance action drama classics contemporary,,
40,19501,19501,3352398,"Eat, Pray, Love by Elizabeth Gilbert",elizabethgilbert,3.51,1181647,memoir travel nonfiction biography spirituality romance contemporary india selfhelp novel religion adventure philosophy drama humor,elizabethgilbert memoir travel nonfiction biography spirituality romance contemporary india selfhelp novel religion adventure philosophy drama humor,,
41,28187,28187,3346751,"The Lightning Thief (Percy Jackson and the Olympians, #1) by Rick Riordan",rickriordan,4.23,1366265,fantasy fiction adventure childrens magic paranormal action novel humor mystery contemporary,rickriordan fantasy fiction adventure childrens magic paranormal action novel humor mystery contemporary,,
42,1934,1934,3244642,"Little Women (Little Women, #1) by Louisa May Alcott",louisamayalcott,4.04,1257121,classics fiction historicalfiction romance literature childrens novel drama history,louisamayalcott classics fiction historicalfiction romance literature childrens novel drama history,,
43,10210,10210,2977639,Jane Eyre by Charlotte Brontë,charlottebront�,4.1,1198557,literature novel fiction mystery drama romance classics history,charlottebront� literature novel fiction mystery drama romance classics history,,
44,15931,15931,1498135,"The Notebook (The Notebook, #1) by Nicholas Sparks",nicholassparks,4.06,1053403,fiction romance contemporary drama novel classics historicalfiction literature,nicholassparks fiction romance contemporary drama novel classics historicalfiction literature,,
45,4214,4214,1392700,Life of Pi by Yann Martel,yannmartel,3.88,1003228,fantasy adventure classics contemporary literature novel india philosophy fiction religion spirituality travel,yannmartel fantasy adventure classics contemporary literature novel india philosophy fiction religion spirituality travel,,
46,43641,43641,3441236,Water for Elephants by Sara Gruen,saragruen,4.07,1068146,fiction historicalfiction romance classics contemporary history novel modern drama,saragruen fiction historicalfiction romance classics contemporary history novel modern drama,,
47,19063,19063,878368,The Book Thief by Markus Zusak,markuszusak,4.36,1159741,historicalfiction fiction classics history novel fantasy contemporary drama literature,markuszusak historicalfiction fiction classics history novel fantasy contemporary drama literature,,
48,4381,4381,1272463,Fahrenheit 451 by Ray Bradbury,raybradbury,3.97,570498,classics fiction sciencefiction dystopia literature fantasy novel science philosophy,raybradbury classics fiction sciencefiction dystopia literature fantasy novel science philosophy,,
49,49041,49041,3203964,"New Moon (Twilight, #2) by Stephenie Meyer",stepheniemeyer,3.52,1149630,fantasy romance fiction paranormal contemporary horror novel sciencefiction drama youngadult,stepheniemeyer fantasy romance fiction paranormal contemporary horror novel sciencefiction drama youngadult,,
50,30119,30119,30518,Where the Sidewalk Ends by Shel Silverstein,shelsilverstein,4.29,1016888,poetry childrens classics humor fantasy comedy literature nonfiction,shelsilverstein poetry childrens classics humor fantasy comedy literature nonfiction,,
51,256683,256683,2267189,"City of Bones (The Mortal Instruments, #1) by Cassandra Clare",cassandraclare,4.12,1154031,paranormal romance fiction fantasy magic adventure action contemporary sciencefiction dystopia mystery,cassandraclare paranormal romance fiction fantasy magic adventure action contemporary sciencefiction dystopia mystery,,
52,428263,428263,2675454,"Eclipse (Twilight, #3) by Stephenie Meyer",stepheniemeyer,3.69,1134511,fantasy romance fiction paranormal contemporary novel horror sciencefiction drama youngadult,stepheniemeyer fantasy romance fiction paranormal contemporary novel horror sciencefiction drama youngadult,,
53,113436,113436,3178011,"Eragon (The Inheritance Cycle, #1) by Christopher Paolini",christopherpaolini,3.86,1104021,fantasy fiction adventure magic childrens action sciencefiction novel paranormal epic romance,christopherpaolini fantasy fiction adventure magic childrens action sciencefiction novel paranormal epic romance,,
54,11,386162,3078186,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) by Douglas Adams",douglasadams,4.2,936782,sciencefiction fiction humor fantasy classics comedy adventure novel literature science contemporary,douglasadams sciencefiction fiction humor fantasy classics comedy adventure novel literature science contemporary,,
55,5129,5129,3204877,Brave New World by Aldous Huxley,aldoushuxley,3.97,1022601,classics fiction sciencefiction dystopia literature novel fantasy philosophy science,aldoushuxley classics fiction sciencefiction dystopia literature novel fantasy philosophy science,,
56,1162543,1162543,2960529,"Breaking Dawn (Twilight, #4) by Stephenie Meyer",stepheniemeyer,3.7,1070245,fantasy contemporary romance fiction sciencefiction paranormal novel adventure action magic,stepheniemeyer fantasy contemporary romance fiction sciencefiction paranormal novel adventure action magic,,
57,37435,37435,3275013,The Secret Life of Bees by Sue Monk Kidd,suemonkkidd,4.01,916189,fiction historicalfiction classics contemporary novel literature drama romance,suemonkkidd fiction historicalfiction classics contemporary novel literature drama romance,,
58,2956,2956,1835605,The Adventures of Huckleberry Finn by Mark Twain,marktwain,3.8,953758,classics fiction historicalfiction literature adventure novel childrens humor history,marktwain classics fiction historicalfiction literature adventure novel childrens humor history,,
59,24178,24178,987048,Charlotte's Web by E.B. White,ebwhite,4.15,1064521,classics childrens fiction fantasy novel literature adventure,ebwhite classics childrens fiction fantasy novel literature adventure,,
60,1618,1618,4259809,The Curious Incident of the Dog in the Night-Time by Mark Haddon,markhaddon,3.85,867553,fiction classics mystery novel psychology literature suspense crime,markhaddon fiction classics mystery novel psychology literature suspense crime,,
61,22557272,22557272,41107568,The Girl on the Train by Paula Hawkins,paulahawkins,3.88,1008778,mystery fiction thriller crime suspense contemporary novel drama murder,paulahawkins mystery fiction thriller crime suspense contemporary novel drama murder,,
62,119322,119322,1536771,"The Golden Compass (His Dark Materials, #1) by Philip Pullman",philippullman,3.94,953970,fantasy fiction childrens adventure sciencefiction magic classics novel religion mystery paranormal literature youngadult,philippullman fantasy fiction childrens adventure sciencefiction magic classics novel religion mystery paranormal literature youngadult,,
63,6185,6185,1565818,Wuthering Heights by Emily Brontë,emilybront�,3.82,899195,classics fiction romance literature historicalfiction novel drama,emilybront� classics fiction romance literature historicalfiction novel drama,,
64,10917,10917,1639903,My Sister's Keeper by Jodi Picoult,jodipicoult,4.06,863879,fiction contemporary drama novel romance literature,jodipicoult fiction contemporary drama novel romance literature,,
65,4981,4981,1683562,Slaughterhouse-Five by Kurt Vonnegut Jr.,kurtvonnegutjr,4.06,846488,classics fiction sciencefiction literature historicalfiction novel fantasy humor history contemporary dystopia philosophy comedy,kurtvonnegutjr classics fiction sciencefiction literature historicalfiction novel fantasy humor history contemporary dystopia philosophy comedy,,
66,18405,18405,3358283,Gone with the Wind by Margaret Mitchell,margaretmitchell,4.28,873981,classics historicalfiction fiction romance literature novel history drama epic,margaretmitchell classics historicalfiction fiction romance literature novel history drama epic,,
67,128029,128029,3271379,A Thousand Splendid Suns by Khaled Hosseini,khaledhosseini,4.34,818742,fiction historicalfiction contemporary novel drama literature classics history romance religion,khaledhosseini fiction historicalfiction contemporary novel drama literature classics history romance religion,,
68,22628,22628,2236198,The Perks of Being a Wallflower by Stephen Chbosky,stephenchbosky,4.21,888806,fiction contemporary classics novel literature,stephenchbosky fiction contemporary classics novel literature,,
69,11735983,11735983,15524542,"Insurgent (Divergent, #2) by Veronica Roth",veronicaroth,4.07,836362,dystopia fiction fantasy sciencefiction romance adventure action novel,veronicaroth dystopia fiction fantasy sciencefiction romance adventure action novel,,
70,375802,375802,2422333,"Ender's Game (Ender's Saga, #1) by Orson Scott Card",orsonscottcard,4.3,813439,sciencefiction fiction fantasy classics dystopia adventure novel science action childrens literature,orsonscottcard sciencefiction fiction fantasy classics dystopia adventure novel science action childrens literature,,
71,18490,18490,4836639,Frankenstein by Mary Wollstonecraft Shelley,marywollstonecraftshelley,3.75,808589,classics fiction horror sciencefiction fantasy literature novel historicalfiction paranormal thriller mystery science drama,marywollstonecraftshelley classics fiction horror sciencefiction fantasy literature novel historicalfiction paranormal thriller mystery science drama,,
72,11588,11588,849585,The Shining (The Shining #1) by Stephen King,stephenking,4.17,791850,fiction fantasy mystery suspense novel classics thriller contemporary sciencefiction literature,stephenking fiction fantasy mystery suspense novel classics thriller contemporary sciencefiction literature,,
73,1656001,1656001,3328799,"The Host (The Host, #1) by Stephenie Meyer",stepheniemeyer,3.84,749780,sciencefiction fiction dystopia paranormal adventure fantasy novel romance suspense contemporary thriller drama action,stepheniemeyer sciencefiction fiction dystopia paranormal adventure fantasy novel romance suspense contemporary thriller drama action,,
74,99561,99561,919292,Looking for Alaska by John Green,johngreen,4.09,783470,fiction contemporary romance mystery novel drama,johngreen fiction contemporary romance mystery novel drama,,
75,227443,227443,3185154,"Bridget Jones's Diary (Bridget Jones, #1) by Helen Fielding",helenfielding,3.75,736498,fiction romance humor contemporary comedy novel classics modern literature drama,helenfielding fiction romance humor contemporary comedy novel classics modern literature drama,,
76,14935,14935,2809709,Sense and Sensibility by Jane Austen,janeausten,4.06,738894,fiction historicalfiction literature novel drama history,janeausten fiction historicalfiction literature novel drama history,,
77,38709,38709,1679789,"Holes (Holes, #1) by Louis Sachar",louissachar,3.93,747445,fiction childrens adventure mystery classics contemporary fantasy humor novel crime,louissachar fiction childrens adventure mystery classics contemporary fantasy humor novel crime,,
78,5139,5139,38765,"The Devil Wears Prada (The Devil Wears Prada, #1) by Lauren Weisberger",laurenweisberger,3.7,665930,fiction contemporary romance humor novel comedy drama modern literature classics,laurenweisberger fiction contemporary romance humor novel comedy drama modern literature classics,,
79,1381,1381,3356006,The Odyssey by Homer,homer,3.73,670326,classics fiction poetry fantasy literature adventure history epic historicalfiction ancient novel philosophy drama travel,homer classics fiction poetry fantasy literature adventure history epic historicalfiction ancient novel philosophy drama travel,,
81,7445,7445,2944133,The Glass Castle by Jeannette Walls,jeannettewalls,4.24,621099,memoir nonfiction biography contemporary classics novel literature psychology drama,jeannettewalls memoir nonfiction biography contemporary classics novel literature psychology drama,,
82,1845,1845,3284484,Into the Wild by Jon Krakauer,jonkrakauer,3.94,647684,nonfiction biography adventure travel classics memoir history contemporary literature philosophy novel,jonkrakauer nonfiction biography adventure travel classics memoir history contemporary literature philosophy novel,,
83,1953,1953,2956372,A Tale of Two Cities by Charles Dickens,charlesdickens,3.81,637412,classics fiction historicalfiction literature novel history romance drama,charlesdickens classics fiction historicalfiction literature novel history romance drama,,
84,7677,6424171,3376836,"Jurassic Park (Jurassic Park, #1) by Michael Crichton",michaelcrichton,3.96,447833,sciencefiction fiction thriller adventure fantasy horror classics suspense novel science action contemporary mystery literature modern,michaelcrichton sciencefiction fiction thriller adventure fantasy horror classics suspense novel science action contemporary mystery literature modern,,
85,370493,370493,30530,The Giving Tree by Shel Silverstein,shelsilverstein,4.38,702332,childrens classics fiction poetry fantasy literature philosophy,shelsilverstein childrens classics fiction poetry fantasy literature philosophy,,
86,32542,32542,1804929,A Time to Kill by John Grisham,johngrisham,4.03,597775,fiction mystery thriller crime suspense novel drama contemporary classics murder literature historicalfiction action,johngrisham fiction mystery thriller crime suspense novel drama contemporary classics murder literature historicalfiction action,,
87,1617,1617,265616,Night (The Night Trilogy #1) by Elie Wiesel,eliewiesel,4.3,691231,classics history nonfiction historicalfiction memoir literature biography religion novel horror contemporary philosophy,eliewiesel classics history nonfiction historicalfiction memoir literature biography religion novel horror contemporary philosophy,,
88,6442769,6442769,3364505,Paper Towns by John Green,johngreen,3.88,461311,contemporary fiction adventure romance humor novel mystery drama youngadult,johngreen contemporary fiction adventure romance humor novel mystery drama youngadult,,
89,21787,21787,992628,The Princess Bride by William Goldman,williamgoldman,4.25,628637,historicalfiction childrens literature action contemporary sciencefiction,williamgoldman historicalfiction childrens literature action contemporary sciencefiction,,
90,231804,231804,1426690,The Outsiders by S.E. Hinton,sehinton,4.06,659248,fiction classics historicalfiction contemporary novel literature childrens drama crime adventure,sehinton fiction classics historicalfiction contemporary novel literature childrens drama crime adventure,,
91,6186357,6186357,6366642,"The Maze Runner (Maze Runner, #1) by James Dashner",jamesdashner,4.02,719925,dystopia sciencefiction fiction fantasy adventure mystery action thriller suspense romance novel,jamesdashner dystopia sciencefiction fiction fantasy adventure mystery action thriller suspense romance novel,,
92,1202,1202,5397,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1) by Steven D. Levitt",stevendlevitt,3.93,524191,nonfiction science psychology economics finance business philosophy history selfhelp humor contemporary money,stevendlevitt nonfiction science psychology economics finance business philosophy history selfhelp humor contemporary money,,
93,2998,2998,3186437,The Secret Garden by Frances Hodgson Burnett,franceshodgsonburnett,4.12,639357,classics fiction childrens historicalfiction literature fantasy novel adventure mystery,franceshodgsonburnett classics fiction childrens historicalfiction literature fantasy novel adventure mystery,,
95,5297,5297,1858012,The Picture of Dorian Gray by Oscar Wilde,oscarwilde,4.06,590014,classics fiction horror fantasy literature novel historicalfiction mystery philosophy paranormal drama,oscarwilde classics fiction horror fantasy literature novel historicalfiction mystery philosophy paranormal drama,,
96,13536860,13536860,18034963,"Fifty Shades Freed (Fifty Shades, #3) by E.L. James",eljames,3.88,387290,fiction contemporary romance drama novel fantasy,eljames fiction contemporary romance drama novel fantasy,,
97,17245,17245,3165724,Dracula by Bram Stoker,bramstoker,3.98,618973,classics horror fiction fantasy paranormal literature novel thriller historicalfiction mystery romance adventure suspense sciencefiction,bramstoker classics horror fiction fantasy paranormal literature novel thriller historicalfiction mystery romance adventure suspense sciencefiction,,
98,5060378,5060378,6976108,"The Girl Who Played with Fire (Millennium, #2) by Stieg Larsson",stieglarsson,4.22,563994,fiction mystery crime suspense thriller contemporary novel drama adventure action murder literature,stieglarsson fiction mystery crime suspense thriller contemporary novel drama adventure action murder literature,,
99,11857408,11857408,16813814,"Fifty Shades Darker (Fifty Shades, #2) by E.L. James",eljames,3.87,552059,romance fiction contemporary,eljames romance fiction contemporary,,
100,7244,7244,810663,The Poisonwood Bible by Barbara Kingsolver,barbarakingsolver,4.02,546502,historicalfiction fiction classics literature novel religion contemporary drama history travel adventure,barbarakingsolver historicalfiction fiction classics literature novel religion contemporary drama history travel adventure,,
101,4137,4137,1030767,Me Talk Pretty One Day by David Sedaris,davidsedaris,3.97,495736,humor memoir nonfiction comedy biography contemporary literature novel,davidsedaris humor memoir nonfiction comedy biography contemporary literature novel,,
102,19543,19543,3020535,Where the Wild Things Are by Maurice Sendak,mauricesendak,4.22,620618,childrens fiction classics fantasy adventure art literature humor,mauricesendak childrens fiction classics fantasy adventure art literature humor,,
103,7126,7126,391568,The Count of Monte Cristo by Alexandre Dumas,alexandredumas,4.21,555822,classics fiction historicalfiction adventure novel romance history drama mystery thriller crime fantasy epic,alexandredumas classics fiction historicalfiction adventure novel romance history drama mystery thriller crime fantasy epic,,
104,6288,6288,3355573,The Road by Cormac McCarthy,cormacmccarthy,3.95,504793,sciencefiction dystopia fiction horror classics literature novel contemporary fantasy thriller modern suspense,cormacmccarthy sciencefiction dystopia fiction horror classics literature novel contemporary fantasy thriller modern suspense,,
105,18710190,18710190,15524549,"Allegiant (Divergent, #3) by Veronica Roth",veronicaroth,3.63,463257,dystopia fiction sciencefiction fantasy romance adventure action novel,veronicaroth dystopia fiction sciencefiction fantasy romance adventure action novel,,
106,9418327,9418327,14302659,Bossypants by Tina Fey,tinafey,3.94,506250,humor memoir nonfiction biography comedy contemporary fiction,tinafey humor memoir nonfiction biography comedy contemporary fiction,,
107,3473,3473,3143497,A Walk to Remember by Nicholas Sparks,nicholassparks,4.15,546948,drama romance novel fiction classics historicalfiction contemporary,nicholassparks drama romance novel fiction classics historicalfiction contemporary,,
108,9416,9416,3237433,"Confessions of a Shopaholic (Shopaholic, #1) by Sophie Kinsella",sophiekinsella,3.61,543658,comedy novel fiction romance contemporary humor modern,sophiekinsella comedy novel fiction romance contemporary humor modern,,
109,24280,24280,3208463,Les Misérables by Victor Hugo,victorhugo,4.14,513407,classics fiction historicalfiction literature novel romance history drama epic,victorhugo classics fiction historicalfiction literature novel romance history drama epic,,
110,10572,10572,3272005,"A Clash of Kings  (A Song of Ice and Fire, #2) by George R.R. Martin",georgerrmartin,4.4,523303,fantasy fiction adventure epic novel magic sciencefiction medieval historicalfiction drama action,georgerrmartin fantasy fiction adventure epic novel magic sciencefiction medieval historicalfiction drama action,,
111,10441,10441,2868431,The Memory Keeper's Daughter by Kim Edwards,kimedwards,3.64,501430,fiction contemporary historicalfiction drama novel literature mystery classics romance modern,kimedwards fiction contemporary historicalfiction drama novel literature mystery classics romance modern,,
112,15507958,15507958,17763198,"Me Before You (Me Before You, #1) by Jojo Moyes",jojomoyes,4.27,587647,romance fiction contemporary,jojomoyes romance fiction contemporary,,
113,168668,168668,814330,Catch-22 by Joseph Heller,josephheller,3.98,563265,classics fiction humor historicalfiction literature novel comedy history contemporary dystopia,josephheller classics fiction humor historicalfiction literature novel comedy history contemporary dystopia,,
114,6900,6900,1995335,Tuesdays with Morrie by Mitch Albom,mitchalbom,4.06,556518,fiction nonfiction memoir biography classics philosophy contemporary selfhelp spirituality novel literature psychology drama religion,mitchalbom nonfiction memoir biography classics philosophy contemporary selfhelp spirituality novel literature psychology drama religion,,
115,2187,2187,1352495,Middlesex by Jeffrey Eugenides,jeffreyeugenides,3.98,488243,fiction historicalfiction contemporary novel literature classics drama history,jeffreyeugenides fiction historicalfiction contemporary novel literature classics drama history,,
116,24583,24583,41326609,The Adventures of Tom Sawyer by Mark Twain,marktwain,3.89,555359,classics fiction adventure historicalfiction literature childrens novel humor history,marktwain classics fiction adventure historicalfiction literature childrens novel humor history,,
117,18131,18131,948387,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1) by Madeleine L'Engle",madeleinelengle,4.04,615907,fantasy fiction classics sciencefiction childrens adventure novel magic literature science,madeleinelengle fantasy fiction classics sciencefiction childrens adventure novel magic literature science,,
118,7763,7763,1955658,The Joy Luck Club by Amy Tan,amytan,3.9,515090,classics fiction contemporary literature novel drama historicalfiction history modern romance memoir,amytan classics fiction contemporary literature novel drama historicalfiction history modern romance memoir,,
119,38447,38447,1119185,The Handmaid's Tale by Margaret Atwood,margaretatwood,4.06,607889,fiction classics dystopia sciencefiction fantasy literature novel contemporary religion drama horror,margaretatwood fiction classics dystopia sciencefiction fantasy literature novel contemporary religion drama horror,,
120,452306,452306,1058370,"The Sisterhood of the Traveling Pants (Sisterhood, #1) by Ann Brashares",annbrashares,3.75,525706,fiction contemporary romance childrens novel drama youngadult humor travel adventure,annbrashares fiction contemporary romance childrens novel drama youngadult humor travel adventure,,
